freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,F,TOTAL,CZ	5326444 	5303641 	5306546 	5312284 	5314716 	5312697 	5304829 	5297052 	5290395 	5284186 	5277036 	5249667 	5235670 	5230950 	5228205 	5228199 	5233925 	5243638 	5278305 	5309105 	5325922 	5339500 	5347235 	5351776 	5350039 	5361348 	5367513 	5378133 	5390264 	5405606 	5421943 	5323934 b	5332932 	5519006 	5557945 
A,NR,F,TOTAL,CZ0	5326444 	5303641 	5306546 	5312284 	5314716 	5312697 	5304829 	5297052 	5290395 	5284186 	5277036 	5249667 	5235670 	5230950 	5228205 	5228199 	5233925 	5243638 	5278305 	5309105 	5325922 	5339500 	5347235 	5351776 	5350039 	5361348 	5367513 	5378133 	5390264 	5405606 	5421943 	5323934 b	5332932 	5519006 	5557945 
A,NR,F,TOTAL,CZ01	: 	: 	644908 	644585 	643908 	642199 	639042 	635991 	633093 	628874 	624895 	615577 	609524 	608180 	607220 	607580 	610103 	611231 	619355 	626187 	631848 	635417 	638677 	641296 	640588 	648703 	652780 	658943 	664963 	670623 	676991 	646097 b	652285 	700944 	714052 
A,NR,F,TOTAL,CZ02	: 	: 	570043 	569335 	568491 	567843 	567120 	566140 	566303 	567346 	568913 	572320 	573674 	576497 	579629 	583952 	589946 	597705 	609604 	622197 	631117 	640231 	647649 	654096 	659581 	666054 	671941 	678063 	684693 	692636 	699942 	694338 b	701332 	732206 	741188 
A,NR,F,TOTAL,CZ03	: 	: 	603424 	603616 	604218 	604122 	603221 	602447 	601854 	601340 	600450 	599178 	598281 	598165 	598359 	597987 	598957 	600557 	604363 	608728 	610270 	611213 	611765 	612435 	612693 	613687 	614356 	615631 	617155 	619311 	622120 	612262 b	613767 	639150 	644512 
A,NR,F,TOTAL,CZ04	: 	: 	575679 	576478 	576741 	576883 	576794 	576863 	577057 	577304 	577407 	573699 	572581 	572664 	572384 	572426 	571475 	570653 	574235 	575397 	574687 	573874 	572808 	571116 	568985 	567215 	565601 	564267 	563430 	562616 	562272 	549394 b	547501 	562683 	563237 
A,NR,F,TOTAL,CZ05	: 	: 	765337 	766759 	767418 	766957 	766048 	765392 	764709 	764286 	763340 	761928 	759997 	758851 	757755 	756693 	757180 	758348 	761675 	764911 	765981 	766857 	766687 	766186 	765299 	765116 	764984 	765299 	765651 	766363 	767460 	756374 b	755586 	778724 	781639 
A,NR,F,TOTAL,CZ06	: 	: 	852664 	853989 	854535 	854712 	853968 	852962 	851915 	851128 	849942 	843885 	841953 	840455 	840105 	840270 	840024 	841139 	845233 	848794 	850838 	852579 	853470 	854181 	854484 	855394 	856000 	857346 	859260 	861364 	862899 	853844 b	854930 	879881 	887156 
A,NR,F,TOTAL,CZ07	: 	: 	639810 	641650 	642701 	643011 	639964 	639331 	638216 	637402 	636653 	635697 	634561 	633151 	631622 	630196 	629266 	628803 	629194 	629107 	628898 	628462 	627674 	626344 	624848 	623893 	622952 	621769 	620569 	619910 	619018 	609860 b	608263 	618438 	619364 
A,NR,F,TOTAL,CZ08	: 	: 	654681 	655872 	656704 	656970 	658672 	657926 	657248 	656506 	655436 	647383 	645099 	642987 	641131 	639095 	636974 	635202 	634646 	633784 	632283 	630867 	628505 	626122 	623561 	621286 	618899 	616815 	614543 	612783 	611241 	601765 b	599268 	606980 	606797 
A,NR,F,TOTAL,DE	41003093 	41253250 	41435461 	41674551 	41819609 	41893638 	41992676 	42057327 	42065068 	42032869 	42072699 	42103004 	42165633 	42191801 	42175657 	42147222 	42098034 	42013740 	41943545 	41818073 	41698651 	41097465 b	41097953 	41142770 	41210540 	41362080 	41661561 	41824535 	41948786 	42052522 	42129098 	42128512 	42170339 	42198796 b	42294114 
A,NR,F,TOTAL,DE1	4948539 	5038389 	5120264 	5182108 	5226107 	5249484 	5272520 	5297785 	5307977 	5320507 	5343567 	5367007 	5402850 	5431086 	5445272 	5457236 	5464795 	5464911 	5466966 	5463612 	5458975 	5352336 b	5361087 	5379636 	5400572 	5432421 	5486230 	5516228 	5546084 	5567840 	5583954 	5586407 	5598532 	5636297 b	5658658 
A,NR,F,TOTAL,DE11	1847545 	1878682 	1909192 	1932956 	1946273 	1953915 	1964678 	1973390 	1976344 	1980692 	1989802 	1998191 	2011313 	2021072 	2025323 	2029242 	2030928 	2030117 	2030030 	2028756 	2025711 	1991143 b	1994861 	2002187 	2010593 	2024243 	2044756 	2057091 	2068633 	2076324 	2081822 	2081032 	2081508 	2083061 b	2090979 
A,NR,F,TOTAL,DE12	1283473 	1304567 	1324441 	1339001 	1351575 	1356308 	1356184 	1362000 	1363737 	1365635 	1369995 	1373829 	1381887 	1388815 	1391647 	1394045 	1395866 	1395785 	1396865 	1396271 	1394889 	1363097 b	1364650 	1368977 	1373807 	1380383 	1392534 	1398754 	1406125 	1410508 	1413271 	1412300 	1415116 	1428664 b	1432592 
A,NR,F,TOTAL,DE13	1003059 	1023184 	1039705 	1051935 	1060751 	1067171 	1074128 	1079838 	1082926 	1086311 	1091298 	1097364 	1106485 	1113003 	1116817 	1119837 	1122274 	1123349 	1124465 	1123215 	1123017 	1100204 b	1102980 	1107375 	1112118 	1118568 	1130467 	1136986 	1143039 	1147631 	1151543 	1153868 	1158106 	1171073 b	1176922 
A,NR,F,TOTAL,DE14	814462 	831956 	846926 	858216 	867508 	872090 	877530 	882557 	884970 	887869 	892472 	897623 	903165 	908196 	911485 	914112 	915727 	915660 	915606 	915370 	915358 	897892 b	898596 	901097 	904054 	909227 	918473 	923397 	928287 	933377 	937318 	939207 	943802 	953499 b	958165 
A,NR,F,TOTAL,DE2	5800180 	5893106 	5956880 	6028687 	6076017 	6105979 	6141450 	6167125 	6181960 	6190294 	6222039 	6255972 	6299952 	6326663 	6344377 	6355088 	6366071 	6373681 	6383935 	6381627 	6374327 	6333372 b	6349961 	6375591 	6407093 	6441603 	6491342 	6529931 	6558701 	6592928 	6617046 	6627588 	6644767 	6621769 b	6645132 
A,NR,F,TOTAL,DE21	1926748 	1957294 	1977280 	2005259 	2021532 	2028815 	2038983 	2047059 	2050410 	2052233 	2069801 	2091712 	2116417 	2131357 	2144635 	2152510 	2166404 	2185884 	2202107 	2213351 	2218541 	2211467 b	2230299 	2251782 	2275078 	2297408 	2321884 	2342585 	2350933 	2367386 	2379713 	2385547 	2391198 	2381640 b	2389704 
A,NR,F,TOTAL,DE22	543629 	552767 	558985 	565869 	571760 	576912 	582294 	586629 	589901 	592324 	595773 	598642 	602462 	605419 	606770 	607671 	607709 	605571 	605237 	603699 	602179 	595612 b	595732 	597020 	599130 	602077 	606393 	609405 	613728 	617719 	620769 	622801 	625528 	623121 b	625475 
A,NR,F,TOTAL,DE23	509294 	516281 	521115 	526011 	530274 	533464 	537272 	540117 	542416 	544630 	547009 	549201 	552090 	553612 	554194 	554482 	553647 	552423 	551526 	550097 	548711 	545102 b	544324 	544710 	545381 	547088 	550225 	551964 	554347 	556308 	557885 	557940 	559912 	556908 b	559329 
